task_id,client,title,hours,budget,window,months,has_unit,flag
90199db5-bbf5-42f1-87c7-38cb828074f6,Studio,Silvester post- 12.25h,12.25,,2018-12 → 2019-11,12,yes,
55b98d92-e06a-449f-b44a-c4292bb978ae,Studio,Studio ppt - 37.25 h,37.25,,2019-01 → 2019-01,1,yes,
10c8e1ad-a0a0-4950-b8b6-f2a1815390b9,Studio,Ravin app post - 24h,24,,2019-01 → 2019-11,11,yes,
2cf0f625-6254-417e-9099-8e3b5a982d67,Studio,AutoFleet dashboard post - 12h,12,,2019-01 → 2019-11,11,yes,
a8da57cd-6d25-4952-b5fa-3797f771a402,Studio,AutoFleet control center post - 19h,19,,2019-02 → 2019-11,10,yes,
844a4cdc-6339-4ffe-a95a-f76ad95d4fd2,Studio,scripts installation - 1h,1,,2019-02 → 2026-04,87,yes,
ba46346b-2a03-4e8d-9b4e-149e77701b0e,Studio,wanted & more post- 10.75h,10.75,,2019-02 → 2019-11,10,yes,
db90cc28-dedb-4894-8a84-cf7dacb23636,Studio,quadream icons - 6,6,,2019-03 → 2019-11,9,no,
e7a1f641-8ca9-4cb1-9f01-10da2c0dbd51,Studio,Ituran case study 86h,86,,2019-03 → 2019-03,1,yes,
ca9fb92e-beda-4a96-9209-e510007194ff,Studio,Toyota case study - 75.75,75.75,,2019-04 → 2019-04,1,no,
78b2b2f2-0e71-460a-9873-56b87cfaf538,Studio,Basis Case Study - 1.5h,1.5,,2019-06 → 2019-06,1,yes,
474d05d9-396d-4094-b9c0-947f7c6bf9de,Studio,Basis Case Study - 43h,43,,2019-06 → 2019-06,1,yes,
e688ec59-95d0-46b2-9a36-7b1fd784ecbd,Studio,Fun day posts - 27.5h,27.5,,2019-08 → 2019-11,4,yes,
31a694b6-0b36-4324-8d21-492cc3bb7381,Studio,Ido Calman's Portfolio - 42.5h ,42.5,,2019-10 → 2019-10,1,yes,
9ae5fd05-7c97-4d71-85ea-cc356d69945b,Studio,Wix bug - 16.5h,16.5,,2019-10 → 2019-10,1,yes,
2fb06536-ef23-4104-a7f9-6c1be0407190,Studio,Storemaven Casestudy - 59.25h,59.25,,2020-06 → 2020-06,1,yes,
901ddae5-5631-4f7a-a149-34f58eaab38a,Studio,mini tasks - 11.75h,11.75,,2020-09 → 2020-09,1,yes,
b409ee84-adc9-46c8-b85f-e9c4760bfa47,Studio,Volta Solar Case Study - 94.25h,94.25,,2021-01 → 2021-01,1,yes,
e352c722-ba23-474d-af03-378e466fbee4,Studio,Oxeye Case Study - 3.75h,3.75,,2021-07 → 2021-07,1,yes,
302c6143-7c5f-4de1-941e-79ef346dfcf1,Studio,Demo festival - 18.75h,18.75,,2022-05 → 2026-04,48,yes,
478a75e6-6e48-46f3-8832-5e3da97a2c42,Studio,co-play - case study -35,35,,2017-01 → 2022-11,71,no,
c0d154b7-c3a8-4717-aa21-b61cd99a3e83,Studio,illustration for website - 66.5,66.5,,2017-04 → 2022-11,68,no,
69990b47-6353-4a38-b2ce-7c09f6b6c9fe,Studio,לעדכן אתר קיים - 6HRS,6,,2017-07 → 2022-11,65,yes,
44d42970-30ee-4e18-8e1d-db8a5d46a87d,Studio,case study for nextnine - 20,20,,2017-08 → 2022-11,64,no,
9d4ec6df-7871-45f2-a1e0-c8429abd4f22,Studio,Case Study OFFF 48.5 HRS,48.5,,2017-09 → 2022-11,63,yes,
d2541b5f-bc31-48e1-a579-1d3dafd5fae9,Studio,case study - dday - 10.5,10.5,,2017-10 → 2022-11,62,no,
15698b58-0b5c-46be-86b1-8236bb937c39,Studio,case study - mobileye -8h,8,,2018-01 → 2022-11,59,yes,
9fa84039-69a2-4eb0-baa2-39e7e5a55f5c,Studio,case study - waves -4h,4,,2018-01 → 2022-11,59,yes,
5b9a39c6-8092-47e2-88fa-cdeec3b1b349,Studio,case study - tree 14.5 hr,14.5,,2018-03 → 2022-11,57,yes,
cf81bf63-6520-4e78-9e7c-0f27d41fd90d,Studio,case study - tuqqi 24 hr,24,,2018-04 → 2022-11,56,yes,
bc657c14-9fd2-469a-8ab2-115d788a4791,Studio,&more case study-21h,21,,2018-04 → 2022-11,56,yes,
e7bb805a-2c5b-4da2-88c2-f54531bd3a55,Studio,case study - Autofleet 65h,65,,2018-04 → 2022-11,56,yes,
59589e34-3970-4e2e-8732-90d7ae5edd2b,Studio,case study din 7 - 43.25hrs,43.25,,2018-04 → 2022-11,56,yes,
c2858b4d-a9ce-4246-8078-89c14bd4fb8d,Studio,case study SiteAware 41hrs,41,,2018-07 → 2022-11,53,yes,
60e84434-70b9-42f3-af55-53b2f940d2ce,Studio,Case Study - NewEra - 10 hr,10,,2019-06 → 2022-11,42,yes,
3bcb3b67-35c7-4c8a-88bc-359434e5fe27,Studio,Case Study - Ception - 12.25h,12.25,,2019-06 → 2022-11,42,yes,
1a7093a2-ba07-4f0a-a62d-6fcd27c973c5,Studio,Case Study - C2A - 34.25h,34.25,,2019-07 → 2022-11,41,yes,
1a515cd4-cb9d-4773-9bb7-87b4ac22f955,Studio,Nexar case study- 11.25h,11.25,,2020-03 → 2022-11,33,yes,
8bbca256-3769-4fd7-8dd3-192de7600468,Studio,Studio website Improvements - 30.5h,30.5,,2020-09 → 2022-11,27,yes,
26548d09-1fc9-4dc4-87b1-9de0b88c5a6e,Studio,Donsplus - Micro Icons - static post - 3.25h,3.25,,2022-03 → 2022-03,1,yes,
f3017737-b328-4e6b-9c49-61283fdc53da,Studio,Donsplus - dashboard - static post - 17.25h,17.25,,2022-03 → 2022-07,5,yes,
1fb67ab6-2ab4-4fbc-a019-7e00bda60264,Studio,Ception - “Any” Illustrations - static posts - 4h,4,,2022-03 → 2022-06,4,yes,
617add7f-4b89-4e69-aaa2-e58abeeb6b84,Studio,Autofleet - EV 3D Visuals - static post - 2.5h,2.5,,2022-03 → 2022-03,1,yes,
1d9e8494-950a-4f79-9baa-38fa751e2bc3,Studio,Anchor - Mini Social Campaign - 17.5h,17.5,,2022-04 → 2022-07,4,yes,
69de055e-06a4-49c1-bbe2-beb73363c993,Studio,Arison - posts -2h,2,,2022-06 → 2022-11,6,yes,
e1d25758-bfba-472f-a580-858ab1bce1a7,Studio,Shavuot post - 6h,6,,2022-05 → 2024-10,30,yes,
0db4244c-fbdb-4f07-be85-4e50b3114b30,Studio,Pride - 25h,25,,2022-06 → 2022-06,1,yes,
f1b42327-4818-48c4-b0e3-ae51a28ab644,Studio,Anchor - Header Wireframe - Animation post - 0.25,0.25,,2022-06 → 2022-07,2,no,
0d0450ea-db1d-472d-8387-6fdf5b605d34,Studio,Nominal logo sketch - static post 3h,3,,2022-06 → 2022-07,2,yes,
499a1e31-5866-4c35-8537-99b8f43742ef,Studio,Astrix Tiktok guide - 1h,1,,2022-06 → 2022-07,2,yes,
27c4441b-e253-40ff-8392-922592bd20cd,Studio,Donsplus - New website - static post 11.25h,11.25,,2022-07 → 2022-07,1,yes,
e979c5d4-bee0-4df1-b65e-148c02ed1769,Studio,Studio - Royal blue event - 5h,5,,2022-09 → 2022-10,2,yes,
e27a7db2-e301-4fe6-a453-94302fe5e92f,Studio,Holidays - 4h,4,,2022-11 → 2024-10,24,yes,
bae4517c-4883-4d33-b192-894ea69b2d60,Nextage,Studio's QA & Final corrections (16h) - 1h,1,16,2021-08 → 2022-04,9,yes,budget-vs-actual-far
22d037a9-0f97-4c14-95a0-a24368dd8ef7,Nextage,Logo editing for global and cerca pages - 0.5h,0.5,,2022-07 → 2023-08,14,yes,
a5d5e81b-dc1a-4ced-a17e-42135634b8de,OFFF tlv,מצגת באנגלית - 21,21,,2017-01 → 2017-01,1,no,
3a2e7fb0-d2dd-4679-b6c4-6e20ed37fbba,OFFF tlv,branding 273 hrs,273,,2017-01 → 2017-01,1,yes,
a7043951-444e-476f-ae05-eaa84a58c247,OFFF tlv,multi-gif for barcelona- 1hr,1,,2017-04 → 2017-04,1,yes,
d7b5f29a-8b47-4b20-9af9-c43498a22252,OFFF tlv,interview video-12.5,12.5,,2017-04 → 2017-04,1,no,
bfbd8b55-8964-4fad-b512-ac23e9028721,OFFF tlv,site -58 hrs,58,,2017-05 → 2017-05,1,yes,
d5aa6e56-e3c6-4870-99f6-68febf7ddcc1,OFFF tlv,tizer- 3,3,,2017-05 → 2017-05,1,no,
6bdc7582-049b-4278-84d4-99227b65ff20,OFFF tlv,branding v2 - 8hrs,8,,2017-06 → 2017-06,1,yes,
f02d033c-769e-46dd-a64f-2184017364b0,OFFF tlv,mail pdf - 2 hrs,2,,2017-08 → 2017-08,1,yes,
017c3f05-f52c-4660-85bd-e342556c3a8c,OFFF tlv,rebranded site - 14.5,14.5,,2017-08 → 2017-08,1,no,
7c29063f-5f17-4199-8d2b-addc1707b75e,OFFF tlv,Animated Bumper 85 HRS,85,,2017-08 → 2017-08,1,yes,
40cb3b7d-81c1-49ce-b1db-561ca3eed1cc,OFFF tlv,folder organize -1 h,1,,2017-08 → 2017-08,1,yes,
d207d251-da48-4a26-a03b-6a80f135278f,OFFF tlv,טיזר תלת 10 Hrs,10,,2017-06 → 2017-06,1,yes,
7e16dfc4-1275-496f-be7c-8169ccf20383,Barbahar,Wanted GIF - 1h ,1,,2020-01 → 2020-01,1,yes,
ea8342b6-0045-469d-abad-4081ca660fca,Barbahar,Print Products - 6.5h,6.5,,2020-01 → 2020-01,1,yes,
fff64e0c-4a78-472b-b2cf-8c467a6cdadb,OFFF tlv,OFFF webeite 2020 - 6 hrs,6,,2020-01 → 2021-07,19,yes,
f2e3c683-d5df-4364-8f5f-b44af9579315,Studio,logo anim- 5.5h,5.5,,2018-05 → 2022-11,55,yes,
6dca01ac-843a-49d7-8775-61527a1f0a2f,Arison,Hero video (40h-50h) - 15.5h,15.5,50,2021-05 → 2022-04,12,yes,budget-multi budget-vs-actual-far
1f1d290f-8d31-4932-9b92-1394921663c2,OFFF tlv,OFFFter party - 6.75h,6.75,,2019-09 → 2021-07,23,yes,
1e55328a-f1c0-46ec-ba80-c9ff97aba620,Ception,Logo - 42.5h,42.5,,2019-03 → 2019-06,4,yes,
3f9a899b-85b2-4bad-8fa2-b1db706c4366,Ception,Stickers - 7.25h,7.25,,2019-04 → 2019-06,3,yes,
c00487c4-05da-4d9b-9af2-e472954e5e95,Ception,B. card - 3.5h,3.5,,2019-04 → 2019-06,3,yes,
edcde094-15eb-4b70-aa16-e6f07e61bc5c,Ception,Web design - 95 h - FINAL,95,,2019-04 → 2019-06,3,yes,
4429baa8-ea9f-443e-82de-58b24dd05ae2,Ception,Notebook - 2.5h,2.5,,2019-05 → 2019-06,2,yes,
bdda93b1-b41e-4263-8d2b-2eec93b36bb2,Ception,color test - 1.5h,1.5,,2019-05 → 2019-06,2,yes,
045b8ba6-1e18-4803-bfda-ba3561713716,Ception,Booth Design (8h from client) - 6h,6,8,2019-08 → 2019-09,2,yes,
9941fb2b-b295-4bda-8013-f0568032817f,Ception,New page for Website (6h from client) - 7 h ,7,6,2019-08 → 2019-11,4,yes,
945f75dd-f88a-484a-a68a-483d3d805260,Ception,Roll up design - 4.5,4.5,,2019-08 → 2019-09,2,no,
05a2dcc6-9dcc-4fbf-9efd-c8e721036663,Ception,Motion Design (~24) - 22h,22,24,2019-09 → 2019-11,3,yes,
b04fb87e-c459-49cd-95f8-832cad844f2e,Ception,Narration (8h) -  8h,8,8,2019-09 → 2019-11,3,yes,
d7d30e87-1f40-4c83-979c-b57d50d30818,Ception,Animation (~8h) - 12h,12,8,2019-09 → 2019-11,3,yes,
c477deaa-4cf7-41cf-8b26-5fa497149dd8,Ception,Clip Edits -2h,2,,2019-10 → 2019-11,2,yes,
880d0544-3555-4b4a-a25c-83f3bb30d152,Ception,Website Add ons - 1h ,1,,2019-11 → 2019-12,2,yes,
92297ceb-040a-483d-90cf-cebc100686e6,Ception,CES Banner (2-3) - 5.5h ,5.5,3,2019-12 → 2020-01,2,yes,budget-range
5d173b28-0e5a-433b-8cae-3af5b66232f5,Ception,CES Booth design (8) - 3.75h,3.75,8,2019-12 → 2020-01,2,yes,
788a606c-caa9-4532-b4fe-d93edcc96556,Ception,One Pager (18) - 17.75h,17.75,18,2019-12 → 2020-03,4,yes,
6a02062c-c42b-4619-8f8e-95233ec95999,Ception,Website addons - 1.5h ,1.5,,2019-12 → 2020-01,2,yes,
b50fa801-b678-4069-a5b8-ddd785de56b0,Ception,Move Booth Design - 2 h,2,,2020-01 → 2020-01,1,yes,
32739339-37c8-4442-8e20-07e9def04479,Ception,Social posts for MOVE - 2h,2,,2020-01 → 2020-01,1,yes,
bc1e40ab-6633-469a-ade3-fe78fe2d7148,Ception,Mining truck image making - 15.5h,15.5,,2020-06 → 2020-06,1,yes,
582f420c-29dc-4320-b0f5-43b6f79b62bc,Ception,Website extras (4) - 5h,5,4,2020-06 → 2020-08,3,yes,
9f5af4e4-3bc7-46de-8d1e-0dbbcd092b9e,Ception,Hiring Post (4-5) - 9.75h,9.75,5,2020-10 → 2020-10,1,yes,budget-range
11692f05-db9b-4aa5-9d20-ac62a5b7c1bb,Ception,3d header update (16) - 15.5h,15.5,16,2021-01 → 2021-01,1,yes,
aa39848b-3e3c-4af5-a8ae-c8e9b06d8a2b,Ception,Update picture in One pager - 0.5h,0.5,,2021-01 → 2021-03,3,yes,
3d7121e9-f6b0-498e-ad0c-d4c67eb22f82,Ception,2 3D Visuals for Website (16) - 13,13,16,2021-04 → 2021-04,1,no,
fdf20ef3-b1d6-4047-90ae-a87a38344606,Ception,Website updates (8+8) - 14.5h,14.5,16,2021-04 → 2021-04,1,yes,budget-sum
126502a9-da49-499c-86c0-0e1dbe79dda4,Ception,Website - MineCept Section (8) -13h,13,8,2021-04 → 2021-04,1,yes,
088800bd-0772-4576-9ab6-4dc5f7ac1ba8,Ception,3 Visuals for Article (8) - 7h,7,8,2021-04 → 2021-04,1,yes,
f703eb2e-be69-44a7-a1ec-858695069761,Ception,career page (6-8h) - 7.25hrs,7.25,8,2021-07 → 2021-08,2,yes,budget-range
dc0a9373-b55c-4db3-b28b-0f8849c2c916,Ception,change in visual (1) - 0.5h,0.5,1,2021-05 → 2021-07,3,yes,
31e283de-739f-4e9c-9a74-1200a3e9a5d7,Ception,Imarc 3 Ads - (2-3) - 3.25h,3.25,3,2020-11 → 2020-12,2,yes,budget-range
631f55ae-61b6-484d-9666-ed44629da073,Ception,One Pager update (20-24) - 7.75h,7.75,24,2020-12 → 2021-01,2,yes,budget-range
75394b63-1821-444e-8344-60b39936606c,Ception,Presentation slide design (4) - 4h,4,4,2020-12 → 2020-12,1,yes,
d1f98350-3f60-4665-913d-de55bcb207b4,Ception,Festive card -  0.75h,0.75,,2020-12 → 2020-12,1,yes,
a4db1e83-f525-4e63-b224-fc8ab7d2e0f0,Ception,One pager for mines (5-7) - 10.5h,10.5,7,2020-03 → 2020-03,1,yes,budget-range
24ea3266-c8a6-484f-bdda-5da79cc10115,Ception,Mining Way Situation - Image Making (10+12+2) - 24.75h,24.75,24,2020-06 → 2020-07,2,yes,budget-sum
98d7fd8b-5885-4058-b47c-3489024c4c82,Ception,Mining Webpage (30+6) - 36.5h,36.5,36,2020-07 → 2020-08,2,yes,budget-sum
e3a56086-078d-4f00-969f-2fcac0c71da3,Ception,Office Design -37.5h,37.5,,2021-10 → 2022-03,6,yes,
6fb3a4bf-ceb0-400a-8693-978427a23726,Ception,3D office sign - 1.5h,1.5,,2021-10 → 2021-10,1,yes,
3a0499a5-ab2b-477f-bd23-a6fbf1d1f383,Ception,Desktop Wallpapers - 2h,2,,2021-12 → 2022-03,4,yes,
9c824bee-10b8-4cf1-974b-97ba53c29925,Ception,Holidays Post (2) - 2hrs,2,2,2021-12 → 2022-03,4,yes,
2afad1fc-ee2b-4ba8-b814-f450992b5ebf,Ception,Website Homepage Updates - 8h,8,,2022-03 → 2022-04,2,yes,
